ANAL_CODE,KEYWORD_GUBUN,SITE_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
ANAL-211104-0025,0,0,의자,좋네요,좋아요,정말,너무,3.49,3.03,2.79,2.34,2.03
ANAL-211104-0025,1,0,더 낮은 가격으로 된 의자발캡도 있는데 금방 벗겨지고 밀착력이 낮습니다이 상품은 한 번 끼면 벗겨지지 않아 걱정이 안되네요,의자 발이 뾰족해서 아이발이 자주 다쳐서 속상했는데 의자발캡이 안정적으로 보호가 잘 되었네요,바닥이 원목마루라 엄청 조심했는데 이제 맘 편히 의자를 끌었다가 놨다,나무의자 발 밑에 플라스틱이 되어 있어 장판이 잘 찍혔는데 너무 만족 스럽습니다,여러 의자발캡을 써봤지만 다  얼마 못가서 벗겨지던데 이거는 착 감기는게 너무 만족 스럽습니다,,,,,
ANAL-211104-0225,0,0,좋아요,만족,좋고,깔끔,,2.8,1.02,0.72,0.35,
ANAL-211104-0225,1,0,칼이 무거워서 떨어지지 않을까 걱정했는데 자력이 강해서 떨어질 일은 없을 것 같아요,흰색이라 더 좋고 적당한 사이즈라 부다없어요,잘 붙어요,칼을 늘어 놓는게 좀 이상했는데 쓰기도 편하고 제법 깔끔합니다,40하길 잘했네요,,,,,
ANAL-211104-0031,0,1,너무,의자,냄새가,좋아요,다시,6.07,3.08,2.7,1.84,1.67
ANAL-211104-0031,1,1,3주동안이나 베란다에서 냄새를 뺐는데도 도저히 안빠져서 그냥 버렸어요,다이소 괜히 갔음 이게 제일 좋음,뭐지하고 보니안쪽에 갈색의 신발에 껌 붙고 흙위에 올라가면 볼수 있는 그런형태의 고무 뭉탱이 같기도 곰팡인가 싶기도 한 갈색 똥 무언가가 잔뜩 붙어 있어서 가루도 떨어지고 의자 다리에 다 묻어요,확실한나무바닥의자다리보호편안해지는마음진짜 의자에 의자 끄는 소리에 예민하신 분이라면 반드시 추천합니다이번에 집에 식탁과 의자를 구입했는데나무바닥에 움직일때마다 끄윽 끄윽소리가 나니 나무바닥은 나무바닥 나름대로 상처가 날까봐 걱정이 되고새로 산 의자도 기스가 나지 않을까 걱정이되더라구요물론 체어슈즈로 예쁜 천의 제품도 많지만다이소에서 이것저것 다 사용해봤어요붙이는 스티커식은 결국 먼지를 많이 달고 떨어져나가고씌우는 예쁜 디자인의 천은 예쁘지만 길지 않으면 벗겨지고 완전한 보호막 기능을 하지는 않더라구요그래서 찾던중 이 테니스공을 체어슈즈로사용했어요,오염되어 있는 공도 2개나 있고 검은 가루도 떨어지는데 하나 개봉해버려서 반품은 어려울거 같아 다 버리고 다른 제품으로 다시 주문했어요,,,,,
ANAL-211104-0039,0,1,벽에,너무,좋아,붙여,,2.74,2.24,1.03,0.68,
ANAL-211104-0039,1,1,단순하고 흰색인걸 찾았는데 야구공이 최선이네요방문뒤 세곳과 세탁기 문여는 곳 4곳에 각각 붙였더니 너무 좋네요,문손잡이가 벽에 너무 퍽퍽 부딪혀대서 다이소에서 이것저것 사다 붙여봤는데 너무 맘에 안들고그러다 쿠팡에서 검색해 보고 구매했는데너무 맘에 들어요,적당히 단단한 쿠션감이 있습니다흰 벽에 붙여놓으니 상당히 귀엽네요,,,,,,,
ANAL-211104-0024,0,1,좋아요,의자,소리,,,1.59,1.55,1.25,,
ANAL-211104-0024,1,1,가격대비 아주 좋은 상품이며 빠른배송 또한 맘에 드네요사용해보고 맘에 들어서 또 다시 구매했습니다,이케아 식탁의자를 샀는데 움직일때마다 소리가 나서 거슬린다 싶어 주문했습니다,치수는안맞는데 그래도 잘 끼워서 쓰고있어요,,,,,,,
ANAL-211104-0178,0,0,좋아요,와인잔,사용하,깔끔,,3.77,1.06,0.79,0.71,
ANAL-211104-0178,1,0,여러모로 잘 사용하고있어요,와인잔말고 작은도자기잔도 들어가서 너무좋아요,재구매아주 잘 사용하고있어요,좋아요,이전에 구매후기를안적었네요,,,,,
ANAL-211104-0178,1,1,와인잔이 많아 씽크대를 정리하기 어려웠었는데 잔들을 깔끔하게 정리할 수 있어서 좋아요다만 저희 씽크대에는 약간 헐거워요 그래도 그냥 잔을 정리하는 것보다 와인 걸이에 정리하니 깔끔해서 보기 좋아요 잔 꺼내기도 편하구요 스텔라 맥주잔도 같이 걸었어요 더 구매해야겠어요,아주잘걸려있습니다싱크대 색이랑도 잘 맞고 와인잔도 잘 걸려 있고 무엇보다 나사를 박지 않아서 좋습니다,,,,,,,,
ANAL-211104-0160,0,0,냄새가,좋아요,음식물,쓰레기통,바로,2.4,2.12,1.74,1.72,1.32
